2019-11-20 at 04:22:46 | INFO | model1911201601 is create by model_resCNN2D_HRRP.py
2019-11-20 at 04:22:46 | INFO | get HRRP by OMP
2019-11-20 at 04:22:46 | INFO | -------------------------------------------------
2019-12-02 at 08:55:48 | INFO | model1912022034 is create by model_resCNN2D_mD.py
2019-12-02 at 08:55:48 | INFO | get mD by OMP
2019-12-02 at 08:55:48 | INFO | -------------------------------------------------
2019-12-03 at 10:25:01 | INFO | model1912031004 is create by model_resCNN2D_HRRP.py
2019-12-03 at 10:25:01 | INFO | get HRRP by OMP, data augment
2019-12-03 at 10:25:01 | INFO | -------------------------------------------------
2019-12-03 at 10:42:00 | INFO | model1912030958 is create by model_resCNN2D_fusion.py
2019-12-03 at 10:42:00 | INFO | fusion
2019-12-03 at 10:42:00 | INFO | -------------------------------------------------
2019-12-03 at 10:42:37 | INFO | model1912031025 is create by model_resCNN2D_mD_finiteFreq.py
2019-12-03 at 10:42:37 | INFO | get mD by finite frequenct
2019-12-03 at 10:42:37 | INFO | -------------------------------------------------
2019-12-11 at 05:16:48 | INFO | model1912111625 is create by model_fusion_finetune.py
2019-12-11 at 05:16:48 | INFO | fusion
2019-12-11 at 05:16:48 | INFO | -------------------------------------------------
